BootstrapReplicate,AP_HRGGM,AP_LVGGM,AP_PriorCorrelation,Enrichment721_HRGGM,Enrichment721_LVGGM,Enrichment721_PriorCorrelation
84,0.28574984835403,0.183502052198686,0.204788788434442,1.52407131995388,1.17806593920759,1.33459218287853
85,0.285482404774729,0.1769180403437,0.186438108478049,1.42521263974065,1.12863659910098,1.23573350266531
86,0.28509391051932,0.184872353065216,0.196454195126712,1.52407131995388,1.17806593920759,1.30163928947412
87,0.272810550726771,0.19004125929173,0.214667862699148,1.54054776665608,1.25220994936751,1.33459218287853
88,0.286550309515843,0.184450723958192,0.201159242038291,1.53230954330498,1.25220994936751,1.26044817271861
89,0.296746418488138,0.200840305160527,0.199667771675955,1.46640375649616,1.35930685293184,1.30987751282523
90,0.268455277281412,0.180914794255742,0.203582810303756,1.45816553314506,1.09568370569657,1.34283040622963
91,0.277731800658673,0.177299974593384,0.186716151343814,1.49111842654947,1.04625436558996,1.12863659910098
92,0.263031012880057,0.183636261222521,0.196722124829428,1.42521263974065,1.2192570559631,1.211018832612
93,0.264993932131272,0.185196721646019,0.199567214683543,1.35930685293184,1.1945423859098,1.31811573617633
94,0.271600353710109,0.185895115047162,0.208299750090457,1.49111842654947,1.15335126915429,1.39225974633625
95,0.290072643102875,0.213318051038327,0.21320182282015,1.53230954330498,1.37578329963404,1.28516284277192
96,0.285703932823278,0.195214217043836,0.205319146163612,1.43345086309176,1.17806593920759,1.35106862958074
97,0.287406651981158,0.19374033010036,0.223402051719261,1.46640375649616,1.26044817271861,1.43345086309176
98,0.276459747105157,0.187384837960526,0.215046709190147,1.43345086309176,1.12863659910098,1.37578329963404
99,0.261112088632889,0.182165683785456,0.198366061048582,1.50759487325168,1.15335126915429,1.30987751282523
100,0.292404216562053,0.193865005623842,0.216644944312626,1.54054776665608,1.26868639606972,1.40049796968735
101,0.267701117270629,0.190116219843938,0.202838872699521,1.38402152298514,1.2192570559631,1.29340106612302
102,0.277289646773205,0.196122651849192,0.209429194882799,1.49935664990057,1.17806593920759,1.25220994936751
103,0.266899727991633,0.189996482352713,0.207397852247905,1.42521263974065,1.27692461942082,1.33459218287853
104,0.306156043070038,0.179264996054949,0.194338172038518,1.56526243670939,1.1863041625587,1.1863041625587
105,0.285012790154717,0.200702458921308,0.202395188109026,1.56526243670939,1.32635395952743,1.35106862958074
106,0.275250221150251,0.195414193652286,0.211501529151664,1.46640375649616,1.27692461942082,1.35930685293184
107,0.255051484136255,0.174898149300771,0.193308806721433,1.39225974633625,1.16982771585649,1.29340106612302
108,0.309322520139747,0.187100226167148,0.199198137872649,1.56526243670939,1.23573350266531,1.36754507628294
109,0.281992550184627,0.180233136207184,0.19984679200887,1.52407131995388,1.211018832612,1.30163928947412
110,0.277923144450345,0.178907708987327,0.196742583506191,1.41697441638955,1.11216015239878,1.35930685293184
111,0.273047656553873,0.180010586588841,0.203926474533774,1.51583309660278,1.25220994936751,1.30163928947412
112,0.281077533147001,0.176972607002845,0.201166437954961,1.51583309660278,1.12039837574988,1.28516284277192
113,0.292058355226647,0.178976080729173,0.203790294122803,1.57350066006049,1.10392192904767,1.26868639606972
114,0.301839296616449,0.181705968882066,0.192186917348573,1.57350066006049,1.17806593920759,1.17806593920759
115,0.265818441398344,0.189772831763393,0.193042451138444,1.35930685293184,1.24397172601641,1.2192570559631
116,0.261167460600165,0.181032853586674,0.201931598171107,1.40873619303845,1.1945423859098,1.31811573617633
117,0.275164518962341,0.189734008593615,0.206167551160983,1.49111842654947,1.23573350266531,1.38402152298514
118,0.283621707844907,0.176099581035902,0.209119944327952,1.47464197984727,1.09568370569657,1.35106862958074
119,0.278307439428691,0.180108618198739,0.194350065591519,1.48288020319837,1.16982771585649,1.30163928947412
120,0.276303067233214,0.18872585371301,0.195742501738407,1.46640375649616,1.2027806092609,1.26044817271861
121,0.268413116411307,0.186551317900456,0.205088399634008,1.35106862958074,1.22749527931421,1.28516284277192
122,0.2894162299489,0.188492303131963,0.199133347890063,1.614691776816,1.30163928947412,1.31811573617633
123,0.291448417179223,0.192696854239554,0.201921634225344,1.57350066006049,1.27692461942082,1.35106862958074
124,0.275912315221068,0.187143407937204,0.182304404139116,1.40049796968735,1.22749527931421,1.11216015239878
125,0.270387201453319,0.184574369880334,0.196019843027699,1.45816553314506,1.1863041625587,1.22749527931421
126,0.285472467393384,0.179618613810598,0.206999054150711,1.54878599000719,1.15335126915429,1.32635395952743
