Method,Permutation,MaximumSeedContrastEigenvalue,FWERThreshold
LV-GGM,168,0.00382238530503793,0.0130526397145708
LV-GGM,169,0.00239084824979733,0.0130526397145708
LV-GGM,170,0.0126215254385615,0.0130526397145708
LV-GGM,171,0.00634578182888539,0.0130526397145708
LV-GGM,172,0.00561234334515794,0.0130526397145708
LV-GGM,173,0.00577730948660122,0.0130526397145708
LV-GGM,174,0.00284152038081096,0.0130526397145708
LV-GGM,175,0.00304023171614299,0.0130526397145708
LV-GGM,176,0.00345534195382001,0.0130526397145708
LV-GGM,177,0.00359581391122113,0.0130526397145708
LV-GGM,178,0.00382162611702757,0.0130526397145708
LV-GGM,179,0.00364981921640524,0.0130526397145708
LV-GGM,180,0.00262702062155378,0.0130526397145708
LV-GGM,181,0.00318009836712387,0.0130526397145708
LV-GGM,182,0.00336439828084044,0.0130526397145708
LV-GGM,183,0.00321723198368377,0.0130526397145708
LV-GGM,184,0.00283151389889282,0.0130526397145708
LV-GGM,185,0.00442613252486512,0.0130526397145708
LV-GGM,186,0.00526151828909104,0.0130526397145708
LV-GGM,187,0.00387284525716579,0.0130526397145708
LV-GGM,188,0.00260680496311859,0.0130526397145708
LV-GGM,189,0.00306172128253334,0.0130526397145708
LV-GGM,190,0.00371423092464652,0.0130526397145708
LV-GGM,191,0.00640580015869982,0.0130526397145708
LV-GGM,192,0.0120381822491348,0.0130526397145708
LV-GGM,193,0.00607476454636056,0.0130526397145708
LV-GGM,194,0.00494021427872794,0.0130526397145708
LV-GGM,195,0.00735097466833776,0.0130526397145708
LV-GGM,196,0.00729329079329357,0.0130526397145708
LV-GGM,197,0.00291445457614866,0.0130526397145708
LV-GGM,198,0.00441001592570294,0.0130526397145708
LV-GGM,199,0.00305915446962991,0.0130526397145708
LV-GGM,200,0.00338066864621866,0.0130526397145708
LV-GGM,201,0.00390704867742953,0.0130526397145708
LV-GGM,202,0.00265551287484118,0.0130526397145708
LV-GGM,203,0.00725386747369864,0.0130526397145708
LV-GGM,204,0.0043467089795997,0.0130526397145708
LV-GGM,205,0.00223210651580535,0.0130526397145708
LV-GGM,206,0.00235093688966083,0.0130526397145708
LV-GGM,207,0.00566666290605607,0.0130526397145708
LV-GGM,208,0.00312670553186413,0.0130526397145708
LV-GGM,209,0.0164218776489852,0.0130526397145708
LV-GGM,210,0.00652105119042263,0.0130526397145708
LV-GGM,211,0.00293257821981116,0.0130526397145708
LV-GGM,212,0.00218826725849749,0.0130526397145708
LV-GGM,213,0.00597656214860161,0.0130526397145708
LV-GGM,214,0.00241811426354927,0.0130526397145708
LV-GGM,215,0.0134624654420078,0.0130526397145708
LV-GGM,216,0.0030163536833999,0.0130526397145708
LV-GGM,217,0.00471759018329732,0.0130526397145708
LV-GGM,218,0.006335451193184,0.0130526397145708
LV-GGM,219,0.011419216643682,0.0130526397145708
LV-GGM,220,0.00532425228426401,0.0130526397145708
LV-GGM,221,0.00451237325992213,0.0130526397145708
LV-GGM,222,0.00309166486205799,0.0130526397145708
LV-GGM,223,0.0115050088800972,0.0130526397145708
LV-GGM,224,0.00517824255717316,0.0130526397145708
LV-GGM,225,0.00737500246309798,0.0130526397145708
LV-GGM,226,0.0110863014397021,0.0130526397145708
LV-GGM,227,0.00452454401280403,0.0130526397145708
LV-GGM,228,0.00424738901679486,0.0130526397145708
LV-GGM,229,0.00352763697861595,0.0130526397145708
LV-GGM,230,0.0134493677194112,0.0130526397145708
LV-GGM,231,0.011357189399627,0.0130526397145708
LV-GGM,232,0.0035098950756409,0.0130526397145708
LV-GGM,233,0.008599563822327,0.0130526397145708
LV-GGM,234,0.00336222540011234,0.0130526397145708
LV-GGM,235,0.00316521994982743,0.0130526397145708
LV-GGM,236,0.00365050913752593,0.0130526397145708
LV-GGM,237,0.00216130938760776,0.0130526397145708
LV-GGM,238,0.00210067524480098,0.0130526397145708
LV-GGM,239,0.00321457092980064,0.0130526397145708
LV-GGM,240,0.00627568787221885,0.0130526397145708
LV-GGM,241,0.00418607535928477,0.0130526397145708
LV-GGM,242,0.00685993576626401,0.0130526397145708
LV-GGM,243,0.00433593763110076,0.0130526397145708
LV-GGM,244,0.00442192996439463,0.0130526397145708
LV-GGM,245,0.00714455984457606,0.0130526397145708
LV-GGM,246,0.00307988079876616,0.0130526397145708
LV-GGM,247,0.00282739610287244,0.0130526397145708
LV-GGM,248,0.00393347637738109,0.0130526397145708
LV-GGM,249,0.00192313630466882,0.0130526397145708
LV-GGM,250,0.00341960292796327,0.0130526397145708
LV-GGM,251,0.00354326624389672,0.0130526397145708
LV-GGM,252,0.00503203144314121,0.0130526397145708
LV-GGM,253,0.0051599899961322,0.0130526397145708
LV-GGM,254,0.0055599525129399,0.0130526397145708
LV-GGM,255,0.00595088293583379,0.0130526397145708
LV-GGM,256,0.00245896982942107,0.0130526397145708
LV-GGM,257,0.00235880614840152,0.0130526397145708
LV-GGM,258,0.00439975975298937,0.0130526397145708
LV-GGM,259,0.0114761803919108,0.0130526397145708
LV-GGM,260,0.00529249791969058,0.0130526397145708
LV-GGM,261,0.00185944751598597,0.0130526397145708
LV-GGM,262,0.00691546219394737,0.0130526397145708
LV-GGM,263,0.00402672146424661,0.0130526397145708
LV-GGM,264,0.0116165003925567,0.0130526397145708
LV-GGM,265,0.00843674954900725,0.0130526397145708
LV-GGM,266,0.00687676612494526,0.0130526397145708
LV-GGM,267,0.0025529189359552,0.0130526397145708
LV-GGM,268,0.00743534581946454,0.0130526397145708
LV-GGM,269,0.00646178494481713,0.0130526397145708
